seq_len,n_layer,n_embd,n_head,n_positions,mean_inf_time,std_dev_inf_time
50,12,768,12,1024,456.495610555013,29.363944072491137
100,12,768,12,1024,1023.5426940917969,205.50428148513325
150,12,768,12,1024,1994.5434163411458,710.7983153499354
200,12,768,12,1024,3338.4900105794272,1425.1430018121014
250,12,768,12,1024,4700.677652994792,1886.7807081838978
300,12,768,12,1024,6060.68017578125,2260.687524751963
350,12,768,12,1024,7415.650553385417,2564.0778618231952
400,12,768,12,1024,8776.326985677084,2871.433270532789
450,12,768,12,1024,10137.184488932291,3103.168785385805
500,12,768,12,1024,11669.357096354166,3387.2405666851223
550,12,768,12,1024,13193.070556640625,3550.291129750509
600,12,768,12,1024,14413.868082682291,3720.1591161712186
650,12,768,12,1024,15710.328043619791,3919.848224480631
700,12,768,12,1024,17177.699462890625,4159.440546153521
750,12,768,12,1024,18277.007975260418,4263.177625963564
800,12,768,12,1024,19839.572591145832,4510.71469321616
850,12,768,12,1024,21471.376790364582,4642.252968488529
900,12,768,12,1024,22635.143880208332,4731.679808169286
950,12,768,12,1024,24087.491861979168,4681.922612868486
1000,12,768,12,1024,25490.929524739582,4741.807894809937
1050,12,768,12,1024,26847.770670572918,4715.885716000774
1100,12,768,12,1024,28106.576822916668,4614.622879179478
1150,12,768,12,1024,30680.591145833332,5302.356722539428
1200,12,768,12,1024,31835.978190104168,4954.550279858913
1250,12,768,12,1024,32208.841145833332,4738.5525275412565
1300,12,768,12,1024,33618.809895833336,4671.75075002527
1350,12,768,12,1024,34801.757486979164,4724.854395052717
1400,12,768,12,1024,36984.552408854164,5166.955869998034
1450,12,768,12,1024,37843.610677083336,3915.92539977151
1500,12,768,12,1024,39152.3779296875,4690.805621466264
1550,12,768,12,1024,40612.256184895836,4748.722334461926
1600,12,768,12,1024,42358.793619791664,5259.014429013697
